City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Safford,US,32.834,-109.7076,70.72,19,0,8.05,clear sky
224,Rio Grande,BR,-32.035,-52.0986,66.02,72,0,9.15,clear sky
225,Prince George,CA,53.9166,-122.753,49.24,46,98,5.01,overcast clouds
226,Rantepao,ID,-2.9701,119.8978,69.04,97,100,0.65,moderate rain
227,Ust-Omchug,RU,61.15,149.6333,10.53,76,97,3.96,overcast clouds
228,Lorengau,PG,-2.0226,147.2712,83.23,75,100,7.02,overcast clouds
229,Grindavik,IS,63.8424,-22.4338,37.87,87,0,1.14,clear sky
230,Palasa,IN,18.7667,84.4167,69.66,70,0,4.38,clear sky
231,Klaksvik,FO,62.2266,-6.589,49.12,91,100,20.56,light rain
232,Adrar,MR,20.5022,-10.0711,77.14,13,18,10.71,few clouds
233,Bonavista,CA,48.6499,-53.1147,44.22,56,3,21.59,clear sky
234,Camara De Lobos,PT,32.6333,-16.9667,72.01,79,20,9.22,few clouds
235,Bengkulu,ID,-3.8004,102.2655,74.71,88,100,2.75,overcast clouds
236,Katherine,AU,-14.4667,132.2667,89.92,55,56,9.22,broken clouds
237,Dali,CN,25.7,100.1833,52.93,89,0,1.52,clear sky
238,Kargasok,RU,59.0556,80.8572,28.44,93,100,11.92,overcast clouds
239,Sinnamary,GF,5.3833,-52.95,78.69,87,9,8.43,clear sky
240,Yar-Sale,RU,66.8333,70.8333,22.06,78,25,18.9,scattered clouds
241,Padang,ID,-0.9492,100.3543,75.25,82,99,2.95,light rain
242,Umm Kaddadah,SD,13.6017,26.6876,78.67,22,47,15.3,scattered clouds
243,Pandamatenga,BW,-18.5278,25.627,74.26,42,20,5.53,few clouds
244,Palu,ID,-0.8917,119.8707,82.76,75,100,0.81,overcast clouds
245,Shadegan,IR,30.6497,48.6647,78.39,66,45,4.97,scattered clouds
246,Leningradskiy,RU,69.3833,178.4167,10.69,92,100,16.89,light snow
247,Blagoyevo,RU,63.3667,47.9167,34.45,98,100,6.73,light snow
248,Georgiyevka,KZ,43.0369,74.7114,30.24,100,99,2.24,fog
249,Tuktoyaktuk,CA,69.4541,-133.0374,13.33,86,100,13.62,overcast clouds
250,Sao Filipe,CV,14.8961,-24.4956,80.58,70,87,6.69,overcast clouds
251,Serowe,BW,-22.3833,26.7167,64.35,79,25,18.54,scattered clouds
252,Kenora,CA,49.8167,-94.4337,50.77,61,83,8.99,broken clouds
253,Margate,GB,51.3813,1.3862,53.31,92,100,7.96,overcast clouds
254,Kushikino,JP,31.7167,130.2667,66.96,67,0,5.32,clear sky
255,Nara,JP,34.6851,135.8049,62.96,50,19,9.13,few clouds
256,Luderitz,NA,-26.6481,15.1594,58.35,85,0,10.16,clear sky
257,Palembang,ID,-2.9167,104.7458,78.89,94,20,3.44,mist
258,Raichur,IN,16.2,77.3667,71.08,66,97,4.99,overcast clouds
259,Zharkent,KZ,44.1628,80.0,38.26,49,5,5.39,clear sky
260,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,52,0,11.18,clear sky
261,Mascote,BR,-15.5631,-39.3025,72.9,93,43,4.52,scattered clouds
262,Bow Island,CA,49.8668,-111.3684,50.49,39,100,20.71,overcast clouds
263,Rocha,UY,-34.4833,-54.3333,68.13,63,73,7.78,broken clouds
264,Bathsheba,BB,13.2167,-59.5167,79.41,89,75,6.91,broken clouds
265,Norfolk,US,42.1668,-71.2495,45.88,88,0,0.0,clear sky
266,Broome,US,42.2506,-75.833,49.68,68,100,2.98,overcast clouds
267,Vao,NC,-22.6667,167.4833,75.67,84,4,11.88,clear sky
268,Seoul,KR,37.5683,126.9778,53.04,62,0,3.09,clear sky
269,Katobu,ID,-4.9408,122.5276,81.32,79,100,2.13,light rain
270,Burns Lake,CA,54.2331,-125.7533,37.74,82,83,17.05,light rain
271,Fortuna,US,40.5982,-124.1573,64.92,68,0,8.05,clear sky
272,Lavrentiya,RU,65.5833,-171.0,21.97,68,67,8.25,broken clouds
273,Muros,ES,42.7762,-9.0603,65.08,91,100,24.16,overcast clouds
274,Olinda,BR,-8.0089,-34.8553,80.33,69,40,11.5,scattered clouds
275,Aquiraz,BR,-3.9014,-38.3911,80.19,80,64,14.5,broken clouds
276,Pisco,PE,-13.7,-76.2167,61.02,82,0,13.8,clear sky
277,Bud,US,39.447,-86.1758,55.24,81,0,6.31,clear sky
